"district_en","day","case"
"Central & Western","2020-01-23","0"
"Wan Chai","2020-01-23","0"
"Eastern","2020-01-23","0"
"Southern","2020-01-23","0"
"Yau Tsim Mong","2020-01-23","0"
"Sham Shui Po","2020-01-23","0"
"Kowloon City","2020-01-23","0"
"Wong Tai Sin","2020-01-23","0"
"Kwun Tong","2020-01-23","0"
"Kwai Tsing","2020-01-23","0"
"Tsuen Wan","2020-01-23","0"
"Tuen Mun","2020-01-23","0"
"Yuen Long","2020-01-23","0"
"North","2020-01-23","0"
"Tai Po","2020-01-23","0"
"Sha Tin","2020-01-23","2"
"Sai Kung","2020-01-23","0"
"Islands","2020-01-23","0"
"Central & Western","2020-01-24","0"
"Wan Chai","2020-01-24","0"
"Eastern","2020-01-24","0"
"Southern","2020-01-24","0"
"Yau Tsim Mong","2020-01-24","0"
"Sham Shui Po","2020-01-24","0"
"Kowloon City","2020-01-24","0"
"Wong Tai Sin","2020-01-24","0"
"Kwun Tong","2020-01-24","0"
"Kwai Tsing","2020-01-24","0"
"Tsuen Wan","2020-01-24","0"
"Tuen Mun","2020-01-24","1"
"Yuen Long","2020-01-24","0"
"North","2020-01-24","0"
"Tai Po","2020-01-24","0"
"Sha Tin","2020-01-24","3"
"Sai Kung","2020-01-24","0"
"Islands","2020-01-24","0"
"Central & Western","2020-01-26","0"
"Wan Chai","2020-01-26","0"
"Eastern","2020-01-26","1"
"Southern","2020-01-26","0"
"Yau Tsim Mong","2020-01-26","0"
"Sham Shui Po","2020-01-26","0"
"Kowloon City","2020-01-26","0"
"Wong Tai Sin","2020-01-26","0"
"Kwun Tong","2020-01-26","0"
"Kwai Tsing","2020-01-26","0"
"Tsuen Wan","2020-01-26","0"
"Tuen Mun","2020-01-26","1"
"Yuen Long","2020-01-26","0"
"North","2020-01-26","0"
"Tai Po","2020-01-26","0"
"Sha Tin","2020-01-26","3"
"Sai Kung","2020-01-26","0"
"Islands","2020-01-26","0"
"Central & Western","2020-01-29","1"
"Wan Chai","2020-01-29","0"
"Eastern","2020-01-29","1"
"Southern","2020-01-29","0"
"Yau Tsim Mong","2020-01-29","1"
"Sham Shui Po","2020-01-29","0"
"Kowloon City","2020-01-29","0"
"Wong Tai Sin","2020-01-29","0"
"Kwun Tong","2020-01-29","0"
"Kwai Tsing","2020-01-29","0"
"Tsuen Wan","2020-01-29","0"
"Tuen Mun","2020-01-29","1"
"Yuen Long","2020-01-29","0"
"North","2020-01-29","0"
"Tai Po","2020-01-29","0"
"Sha Tin","2020-01-29","3"
"Sai Kung","2020-01-29","1"
"Islands","2020-01-29","0"
"Central & Western","2020-01-30","1"
"Wan Chai","2020-01-30","0"
"Eastern","2020-01-30","1"
"Southern","2020-01-30","0"
"Yau Tsim Mong","2020-01-30","2"
"Sham Shui Po","2020-01-30","0"
"Kowloon City","2020-01-30","0"
"Wong Tai Sin","2020-01-30","0"
"Kwun Tong","2020-01-30","0"
"Kwai Tsing","2020-01-30","1"
"Tsuen Wan","2020-01-30","0"
"Tuen Mun","2020-01-30","1"
"Yuen Long","2020-01-30","0"
"North","2020-01-30","0"
"Tai Po","2020-01-30","0"
"Sha Tin","2020-01-30","3"
"Sai Kung","2020-01-30","1"
"Islands","2020-01-30","0"
"Central & Western","2020-01-31","1"
"Wan Chai","2020-01-31","0"
"Eastern","2020-01-31","1"
"Southern","2020-01-31","0"
"Yau Tsim Mong","2020-01-31","2"
"Sham Shui Po","2020-01-31","0"
"Kowloon City","2020-01-31","1"
"Wong Tai Sin","2020-01-31","0"
"Kwun Tong","2020-01-31","0"
"Kwai Tsing","2020-01-31","1"
"Tsuen Wan","2020-01-31","0"
"Tuen Mun","2020-01-31","1"
"Yuen Long","2020-01-31","0"
"North","2020-01-31","0"
"Tai Po","2020-01-31","0"
"Sha Tin","2020-01-31","3"
"Sai Kung","2020-01-31","1"
"Islands","2020-01-31","0"
"Central & Western","2020-02-01","1"
"Wan Chai","2020-02-01","0"
"Eastern","2020-02-01","1"
"Southern","2020-02-01","0"
"Yau Tsim Mong","2020-02-01","2"
"Sham Shui Po","2020-02-01","0"
"Kowloon City","2020-02-01","1"
"Wong Tai Sin","2020-02-01","0"
"Kwun Tong","2020-02-01","0"
"Kwai Tsing","2020-02-01","1"
"Tsuen Wan","2020-02-01","0"
"Tuen Mun","2020-02-01","1"
"Yuen Long","2020-02-01","0"
"North","2020-02-01","0"
"Tai Po","2020-02-01","0"
"Sha Tin","2020-02-01","3"
"Sai Kung","2020-02-01","1"
"Islands","2020-02-01","0"
"Central & Western","2020-02-02","1"
"Wan Chai","2020-02-02","0"
"Eastern","2020-02-02","1"
"Southern","2020-02-02","0"
"Yau Tsim Mong","2020-02-02","2"
"Sham Shui Po","2020-02-02","0"
"Kowloon City","2020-02-02","1"
"Wong Tai Sin","2020-02-02","0"
"Kwun Tong","2020-02-02","0"
"Kwai Tsing","2020-02-02","1"
"Tsuen Wan","2020-02-02","0"
"Tuen Mun","2020-02-02","1"
"Yuen Long","2020-02-02","0"
"North","2020-02-02","0"
"Tai Po","2020-02-02","0"
"Sha Tin","2020-02-02","3"
"Sai Kung","2020-02-02","1"
"Islands","2020-02-02","0"
"Central & Western","2020-02-03","1"
"Wan Chai","2020-02-03","0"
"Eastern","2020-02-03","1"
"Southern","2020-02-03","0"
"Yau Tsim Mong","2020-02-03","0"
"Sham Shui Po","2020-02-03","0"
"Kowloon City","2020-02-03","1"
"Wong Tai Sin","2020-02-03","0"
"Kwun Tong","2020-02-03","0"
"Kwai Tsing","2020-02-03","1"
"Tsuen Wan","2020-02-03","0"
"Tuen Mun","2020-02-03","1"
"Yuen Long","2020-02-03","0"
"North","2020-02-03","0"
"Tai Po","2020-02-03","0"
"Sha Tin","2020-02-03","3"
"Sai Kung","2020-02-03","1"
"Islands","2020-02-03","0"
"Central & Western","2020-02-04","1"
"Wan Chai","2020-02-04","0"
"Eastern","2020-02-04","1"
"Southern","2020-02-04","0"
"Yau Tsim Mong","2020-02-04","3"
"Sham Shui Po","2020-02-04","0"
"Kowloon City","2020-02-04","3"
"Wong Tai Sin","2020-02-04","0"
"Kwun Tong","2020-02-04","1"
"Kwai Tsing","2020-02-04","1"
"Tsuen Wan","2020-02-04","0"
"Tuen Mun","2020-02-04","1"
"Yuen Long","2020-02-04","0"
"North","2020-02-04","0"
"Tai Po","2020-02-04","0"
"Sha Tin","2020-02-04","2"
"Sai Kung","2020-02-04","1"
"Islands","2020-02-04","0"
"Central & Western","2020-02-05","1"
"Wan Chai","2020-02-05","0"
"Eastern","2020-02-05","1"
"Southern","2020-02-05","0"
"Yau Tsim Mong","2020-02-05","5"
"Sham Shui Po","2020-02-05","0"
"Kowloon City","2020-02-05","3"
"Wong Tai Sin","2020-02-05","0"
"Kwun Tong","2020-02-05","1"
"Kwai Tsing","2020-02-05","3"
"Tsuen Wan","2020-02-05","0"
"Tuen Mun","2020-02-05","1"
"Yuen Long","2020-02-05","0"
"North","2020-02-05","0"
"Tai Po","2020-02-05","0"
"Sha Tin","2020-02-05","1"
"Sai Kung","2020-02-05","1"
"Islands","2020-02-05","0"
"Central & Western","2020-02-06","1"
"Wan Chai","2020-02-06","0"
"Eastern","2020-02-06","2"
"Southern","2020-02-06","0"
"Yau Tsim Mong","2020-02-06","5"
"Sham Shui Po","2020-02-06","0"
"Kowloon City","2020-02-06","3"
